file,celebrity_count,HAPPY,SAD,ANGRY,CONFUSED,DISGUSTED,SURPRISED,CALM,UNKNOWN,women,men,children,young_adults,adults,elderly,smile_count,Art,Human,Adventure,Beard,Animal,Back,Brochure,Audience,Asleep,Arecaceae
A-sponsored-childs-dreams---World-Vision-Australia,2,0,0,0,0,0,0,0,0,68,32,64,17,19,0,19,0,0,0,0,0,0,0,0,0,0
Bill-Gates-ALS-Ice-Bucket-Challenge,1,0,0,0,0,0,0,0,0,50,50,7,16,36,39,13,0,0,0,0,0,0,0,0,0,0
DEC---Africa-Famine-Appeal-2017,3,0,0,0,0,0,0,0,0,69,31,35,23,41,1,0,0,0,0,0,0,0,0,0,0,0
From-child-to-bride-to-mother-in-Nepal--Radhikas-story,4,0,0,0,0,0,0,0,0,87,13,19,23,52,6,40,0,0,0,0,0,0,0,0,0,0
HOW-FAR-ILL-GO---DISNEYS-MOANA---LIVE-PERFORMANCE-BY-4-YEAR-OLD-CLAIRE-RYANN-AT-CHARITY,1,0,0,0,0,0,0,0,0,52,48,48,14,38,0,22,0,0,0,0,0,0,0,0,0,0
Heart-Beats,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0
KONY-2012,4,0,0,0,0,0,0,0,0,94,6,33,23,35,9,21,0,0,0,0,0,0,0,0,0,0
Lilly-Singh-Supports-Girls-Education,1,0,0,0,0,0,0,0,0,100,0,0,2,98,0,17,0,0,0,0,0,0,0,0,0,0
Look-Beyond-Borders---4-minutes-experiment,10,0,0,0,0,0,0,0,0,86,14,12,17,52,18,11,0,0,0,0,0,0,0,0,0,0
Rachel-Beckwiths-Last-Wish-Brings-37700-Clean-Water,11,0,0,0,0,0,0,0,0,88,12,36,1,60,1,45,0,0,0,0,0,0,0,0,0,0
Stephen-Colbert--John-Oliver-Take-Over-The-Stage---Night-Of-Too-Many-Stars---HBO,5,0,0,0,0,0,0,0,0,16,84,0,2,44,46,19,0,0,0,0,0,0,0,0,0,0
Tom-Hardy-Appeals-For-You-To-Donate-To-Yemen-Crisis,3,0,0,0,0,0,0,0,0,53,47,100,0,0,0,9,0,0,0,0,0,0,0,0,0,0
We-Are-First-Descents,4,0,0,0,0,0,0,0,0,30,70,2,5,93,0,15,0,0,0,0,0,0,0,0,0,0
